year,sector,food_type,tons_supply,tons_surplus,tons_waste,tons_uneaten,tons_anaerobically_digested,tons_composted,tons_landfilled,meals_wasted
2019,Farm,Dry Goods,6428604.73,1230837.32,1081247.44,1201758.99,0.00,0.00,24666.80,2002931648.00
2019,Farm,Produce,95442734.37,15517466.15,13628429.21,15264852.80,0.00,0.00,185655.33,25441421346.00
2019,Foodservice,Breads & Bakery,31107.73,570.81,482.15,556.45,0.14,72.23,432.69,927416.44
2019,Foodservice,Dairy & Eggs,14798.32,271.54,229.36,264.71,0.07,34.36,205.84,441182.96
2019,Foodservice,Dry Goods,26451.91,485.38,409.99,473.17,0.12,61.42,367.93,788612.23
2019,Foodservice,Fresh Meat & Seafood,63043.30,1156.81,977.13,1127.71,0.29,146.38,876.90,1879513.10
2019,Foodservice,Frozen,142.49,2.61,2.21,2.55,0.00,0.33,1.98,4248.15
2019,Foodservice,Prepared Foods,0.00,28547.46,24548.98,28274.68,343.00,3298.63,22033.59,47124465.95
2019,Foodservice,Produce,50192.03,920.99,777.94,897.83,0.23,116.54,698.15,1496377.48
2019,Foodservice,Ready-to-drink Beverages,21588.84,396.14,334.61,386.18,0.10,50.13,300.29,643629.14
2019,Foodservice,Breads & Bakery,150042.98,3848.59,3135.91,3747.98,1.01,595.27,2748.69,6246637.39
2019,Foodservice,Dairy & Eggs,224181.76,5750.24,4685.42,5599.92,1.51,889.40,4106.87,9333206.52
2019,Foodservice,Dry Goods,492977.63,12644.83,10303.28,12314.28,3.32,1955.79,9031.04,20523802.28
2019,Foodservice,Fresh Meat & Seafood,383359.45,9833.14,8012.25,9576.09,2.59,1520.90,7022.90,15960143.07
2019,Foodservice,Frozen,22650.86,580.99,473.40,565.80,0.15,89.86,414.95,943007.70
2019,Foodservice,Prepared Foods,0.00,258862.02,213831.22,258097.51,4963.34,39182.94,187580.98,430162524.50
2019,Foodservice,Produce,311757.33,7996.55,6515.76,7787.51,2.10,1236.83,5711.20,12979180.90
2019,Foodservice,Ready-to-drink Beverages,203713.57,5225.24,4257.63,5088.64,1.37,808.19,3731.90,8481068.62
2019,Foodservice,Breads & Bakery,61915.18,1136.11,886.80,1105.12,0.31,212.41,763.37,1841869.68
2019,Foodservice,Dairy & Eggs,92508.51,1697.48,1324.98,1651.18,0.46,317.36,1140.57,2751968.63
2019,Foodservice,Dry Goods,203427.03,3732.77,2913.64,3630.96,1.02,697.87,2508.12,6051602.94
2019,Foodservice,Fresh Meat & Seafood,158193.13,2902.75,2265.76,2823.58,0.79,542.70,1950.41,4705972.48
2019,Foodservice,Frozen,9346.87,171.51,133.87,166.83,0.05,32.07,115.24,278053.17
2019,Foodservice,Prepared Foods,0.00,283665.27,229832.35,272646.39,1803.97,36160.89,197613.68,454410652.90
2019,Foodservice,Produce,128646.54,2360.59,1842.57,2296.21,0.65,441.33,1586.12,3827012.57
2019,Foodservice,Ready-to-drink Beverages,84062.33,1542.49,1204.01,1500.43,0.42,288.38,1036.43,2500709.13
2019,Foodservice,Breads & Bakery,152712.02,3918.47,3108.04,3813.23,1.06,686.00,2738.13,6355388.68
2019,Foodservice,Dairy & Eggs,228169.62,5854.65,4643.77,5697.42,1.58,1024.96,4091.08,9495693.66
2019,Foodservice,Dry Goods,501746.97,12874.43,10211.69,12528.67,3.47,2253.90,8996.32,20881112.90
2019,Foodservice,Fresh Meat & Seafood,390178.84,10011.68,7941.02,9742.80,2.70,1752.73,6995.91,16238002.35
2019,Foodservice,Frozen,23053.78,591.54,469.20,575.66,0.16,103.56,413.35,959425.07
2019,Foodservice,Prepared Foods,0.00,237005.60,191723.80,233526.38,3770.06,36683.89,168950.60,389210636.10
2019,Foodservice,Produce,317303.03,8141.74,6457.83,7923.09,2.20,1425.36,5689.24,13205142.89
2019,Foodservice,Ready-to-drink Beverages,207337.34,5320.11,4219.78,5177.23,1.44,931.38,3717.56,8628720.40
2019,Foodservice,Breads & Bakery,37646.67,965.98,796.21,941.03,0.25,140.82,705.30,1568387.47
2019,Foodservice,Dairy & Eggs,56248.52,1443.29,1189.64,1406.01,0.38,210.41,1053.81,2343354.24
2019,Foodservice,Dry Goods,123690.99,3173.81,2616.02,3091.83,0.83,462.69,2317.33,5153056.34
2019,Foodservice,Fresh Meat & Seafood,96187.15,2468.09,2034.33,2404.34,0.64,359.81,1802.05,4007226.12
2019,Foodservice,Frozen,5683.23,145.83,120.20,142.06,0.04,21.26,106.47,236767.62
2019,Foodservice,Prepared Foods,0.00,64945.84,54302.96,64756.41,1172.04,9253.00,48133.20,107927354.90
2019,Foodservice,Produce,78221.75,2007.11,1654.36,1955.26,0.52,292.60,1465.47,3258774.84
2019,Foodservice,Ready-to-drink Beverages,51112.94,1311.52,1081.02,1277.64,0.34,191.20,957.59,2129401.94
2019,Foodservice,Breads & Bakery,94727.71,1738.20,1526.59,1696.40,0.42,164.94,1338.42,2827336.40
2019,Foodservice,Dairy & Eggs,33031.06,606.10,532.31,591.53,0.15,57.51,466.70,985877.61
2019,Foodservice,Dry Goods,153624.56,2818.92,2475.74,2751.14,0.69,267.49,2170.59,4585229.79
2019,Foodservice,Fresh Meat & Seafood,321574.19,5900.70,5182.34,5758.81,1.43,559.92,4543.58,9598019.55
2019,Foodservice,Prepared Foods,0.00,307008.07,274861.73,306188.30,3577.73,27545.64,241079.43,510313827.20
2019,Foodservice,Produce,166194.61,3049.57,2678.32,2976.24,0.74,289.37,2348.19,4960407.64
2019,Foodservice,Ready-to-drink Beverages,82276.36,1509.72,1325.93,1473.42,0.37,143.26,1162.50,2455701.02
2019,Foodservice,Breads & Bakery,7557.48,138.68,104.45,134.77,0.04,29.50,93.66,224612.94
2019,Foodservice,Dairy & Eggs,31548.18,578.89,436.02,562.58,0.16,123.16,390.96,937631.76
2019,Foodservice,Dry Goods,335908.23,6163.72,4642.47,5990.04,1.74,1311.30,4162.76,9983403.60
2019,Foodservice,Fresh Meat & Seafood,255415.87,4686.73,3530.01,4554.67,1.32,997.08,3165.25,7591120.08
2019,Foodservice,Prepared Foods,0.00,367374.21,279898.02,365801.97,9835.98,75526.41,250914.18,609669942.80
2019,Foodservice,Produce,252380.48,4631.03,3488.06,4500.54,1.31,985.23,3127.64,7500906.31
2019,Foodservice,Ready-to-drink Beverages,118206.91,2169.03,1633.70,2107.91,0.61,461.45,1464.88,3513183.67
2019,Foodservice,Breads & Bakery,203173.38,3728.11,3215.93,3636.54,0.92,408.72,2945.00,6060901.57
2019,Foodservice,Dairy & Eggs,672240.30,12335.21,10640.56,12032.23,3.06,1352.32,9744.15,20053720.52
2019,Foodservice,Dry Goods,402856.19,7392.17,6376.61,7210.60,1.83,810.41,5839.41,12017675.00
2019,Foodservice,Fresh Meat & Seafood,425950.73,7815.95,6742.16,7623.97,1.94,856.87,6174.17,12706612.48
2019,Foodservice,Frozen,23888.63,438.34,378.12,427.58,0.11,48.06,346.27,712625.95
2019,Foodservice,Prepared Foods,0.00,790106.71,694386.22,787391.62,10476.43,81737.85,635980.52,1312319363.00
2019,Foodservice,Produce,321653.30,5902.15,5091.29,5757.18,1.46,647.06,4662.38,9595296.99
2019,Foodservice,Ready-to-drink Beverages,208311.53,3822.39,3297.26,3728.51,0.95,419.05,3019.48,6214178.40
